item_id,item_name,item_desc,item_icon,item_class,item_type,item_grade,item_detailtype,item_purchaseprice,item_sellingprice,item_level,item_attack,item_defense,item_speed,item_attackspeed,item_hp,item_mp,item_exp,item_maxhp,item_maxmp,item_maxcount
500,빨간물약,HP 50을 회복합니다.,path,Default,Consumption,Normal,Default,100,50,0,0,0,0,0,50,0,0,0,0,200
501,주황물약,HP 150을 회복합니다.,path,Default,Consumption,Normal,Default,200,100,0,0,0,0,0,150,0,0,0,0,200
502,하양물약,HP 300을 회복합니다.,path,Default,Consumption,Normal,Default,300,150,0,0,0,0,0,300,0,0,0,0,200
503,장어구이,HP 1000을 회복합니다.,path,Default,Consumption,Normal,Default,1000,500,0,0,0,0,0,1000,0,0,0,0,200
504,파란물약,MP 100을 회복합니다.,path,Default,Consumption,Normal,Default,200,100,0,0,0,0,0,0,100,0,0,0,200
505,마나엘릭서,MP 300을 회복합니다.,path,Default,Consumption,Normal,Default,500,250,0,0,0,0,0,0,300,0,0,0,200
506,맑은물,MP 1000을 회복합니다.,path,Default,Consumption,Normal,Default,1500,750,0,0,0,0,0,0,1000,0,0,0,200
507,하급기사물약,HP 100을 회복합니다.,path,Default,Consumption,Normal,Default,150,75,10,0,0,0,0,0,0,0,0,0,100
508,중급기사물약,HP 300을 회복합니다.,path,Default,Consumption,Normal,Default,300,150,30,0,0,0,0,300,0,0,0,0,100
509,상급기사물약,HP 500을 회복합니다.,path,Default,Consumption,Normal,Default,500,250,70,0,0,0,0,500,0,0,0,0,100
510,최상급기사물약,HP 1000을 회복합니다.,path,Default,Consumption,Normal,Default,1000,500,120,0,0,0,0,1000,0,0,0,0,100
511,하급경험치물약,EXP 100을 올려줍니다.,path,Default,Consumption,Normal,Default,9999999,1,0,0,0,0,0,0,0,100,0,0,50
512,중급경험치물약,EXP 1000을 올려줍니다.,path,Default,Consumption,Normal,Default,9999999,1,0,0,0,0,0,0,0,1000,0,0,50
513,상급경험치물약,EXP 10000을 올려줍니다.,path,Default,Consumption,Normal,Default,9999999,1,0,0,0,0,0,0,0,10000,0,0,50
514,이상한 약,"Attack, Defense, MaxHP, MaxMP 능력을 10 올려줍니다.",path,Default,Consumption,Epic,Default,9999999,1,0,10,10,0,0,0,0,0,10,10,10
515,전사의 물약,5분간 Attack 10을 올려줍니다.,path,Default,Consumption,Normal,Default,200,100,0,10,0,0,0,0,0,0,0,0,100
516,이동속도의 물약,5분간 Speed 5를 올려줍니다.,path,Default,Consumption,Normal,Default,200,100,0,0,0,5,0,0,0,0,0,0,100
517,공격속도의 물약,5분간 AttackSpeed 5를 올려줍니다.,path,Default,Consumption,Normal,Default,200,100,0,0,0,0,5,0,0,0,0,0,100
518,방어력의 물약,5분간 Defense 10을 올려줍니다.,path,Default,Consumption,Normal,Default,200,100,0,0,10,0,0,0,0,0,0,0,100